time,model_id,model_name,port_name,data
0,550,(20,11),,0.230313
0,551,(11,3),,0.442811
0,552,(22,19),,0.629588
0,553,(10,18),,0.498871
0,554,(15,11),,0.101764
0,555,(29,48),,0.258270
0,556,(22,14),,0.579657
0,557,(3,47),,0.516352
0,558,(14,17),,0.350198
0,559,(46,17),,0.141912
0,560,(36,2),,0.277259
0,561,(12,20),,0.485132
0,562,(9,11),,0.559160
0,563,(8,11),,0.226923
0,564,(4,11),,0.542311
0,565,(48,12),,0.075364
0,566,(1,32),,0.437711
0,567,(2,11),,0.498651
0,568,(9,10),,0.556787
0,569,(1,11),,0.480479
0,570,(24,10),,0.270405
0,571,(6,15),,0.550816
0,572,(40,12),,0.286434
0,573,(47,10),,0.082068
0,574,(4,20),,0.500508
0,575,(37,21),,0.287076
0,576,(46,11),,0.296350
0,577,(22,15),,0.269206
0,578,(25,32),,0.262942
0,579,(15,49),,0.408449
0,580,(41,10),,0.189820
0,581,(45,20),,0.128970
0,582,(13,13),,0.393300
0,583,(13,5),,0.388298
0,584,(40,43),,0.053093
0,585,(48,21),,0.067648
0,586,(24,20),,0.519691
0,587,(38,13),,0.297998
0,588,(7,25),,0.412582
0,589,(3,0),,0.516814
0,590,(28,18),,0.306982
0,591,(48,4),,0.059089
0,592,(23,11),,0.269640
0,593,(42,10),,0.161770
0,594,(43,19),,0.279003
0,595,(46,6),,0.060444
0,596,(43,4),,0.080333
0,597,(3,11),,0.519128
0,598,(12,3),,0.405037
0,599,(31,29),,0.126878
0,600,(46,7),,0.064627
0,601,(21,26),,0.532847
0,602,(37,5),,0.159249
0,603,(23,16),,0.176267
0,604,(20,36),,0.235178
0,605,(44,12),,0.168936
0,606,(1,41),,0.476770
0,607,(45,11),,0.130874
0,608,(29,4),,0.288264
0,609,(33,7),,0.226660
0,610,(15,41),,0.403853
0,611,(29,6),,0.281706
0,612,(37,32),,0.109899
0,613,(19,5),,0.314202
0,614,(18,4),,0.299288
0,615,(23,35),,0.199309
0,616,(48,2),,0.497736
0,617,(38,35),,0.099991
0,618,(46,2),,0.074222
0,619,(45,13),,0.162313
0,620,(30,15),,0.170132
0,621,(13,28),,0.337928
0,622,(7,15),,0.550246
0,623,(33,14),,0.323186
0,624,(8,4),,0.314493
0,625,(36,17),,0.295246
0,626,(27,0),,0.255798
0,627,(22,9),,0.319610
0,628,(30,20),,0.238217
0,629,(7,9),,0.585564
0,630,(7,39),,0.528874
0,631,(9,49),,0.321493
0,632,(49,6),,0.054280
0,633,(35,5),,0.193972
0,634,(35,14),,0.246693
0,635,(31,8),,0.602028
0,636,(0,4),,0.474475
0,637,(45,15),,0.101324
0,638,(42,2),,0.105616
0,639,(7,13),,0.571752
0,640,(17,42),,0.375420
0,641,(6,10),,0.584288
0,642,(31,9),,0.204243
0,643,(40,34),,0.108522
0,644,(20,1),,0.262438
0,645,(39,4),,0.135285
0,646,(4,13),,0.538950
0,647,(46,35),,0.036680
0,648,(4,4),,0.543088
0,649,(45,3),,0.072534
0,650,(12,41),,0.501451
0,651,(43,48),,0.124310
0,652,(40,3),,0.125210
0,653,(20,46),,0.388822
0,654,(47,0),,0.557260
0,655,(42,13),,0.259963
0,656,(15,2),,0.519010
0,657,(48,14),,0.264467
0,658,(5,31),,0.404486
0,659,(17,21),,0.450922
0,660,(48,8),,0.061326
0,661,(23,18),,0.397260
0,662,(34,4),,0.223776
0,663,(12,39),,0.463304
0,664,(2,12),,0.498120
0,665,(40,39),,0.079576
0,666,(35,40),,0.093858
0,667,(31,3),,0.263143
0,668,(35,48),,0.201000
0,669,(28,3),,0.496297
0,670,(40,10),,0.210193
0,671,(8,12),,0.575160
0,672,(5,10),,0.567666
0,673,(22,4),,0.313548
0,674,(15,21),,0.400518
0,675,(0,5),,0.474164
0,676,(33,4),,0.238504
0,677,(13,25),,0.433522
0,678,(30,31),,0.142068
0,679,(14,16),,0.336787
0,680,(13,3),,0.364492
0,681,(11,4),,0.455174
0,682,(15,30),,0.176054
0,683,(12,9),,0.317250
0,684,(18,32),,0.185135
0,685,(23,3),,0.302077
0,686,(19,3),,0.288669
0,687,(6,5),,0.400066
0,688,(28,41),,0.141024
0,689,(9,47),,0.081287
0,690,(37,3),,0.168392
0,691,(33,17),,0.178633
0,692,(17,3),,0.290329
0,693,(19,8),,0.327549
0,694,(28,5),,0.298552
0,695,(23,26),,0.597436
0,696,(44,15),,0.218742
0,697,(4,15),,0.528241
0,698,(15,3),,0.305702
0,699,(40,35),,0.099573
0,700,(23,17),,0.344134
0,701,(49,22),,0.055368
0,702,(41,42),,0.082412
0,703,(43,1),,0.453139
0,704,(35,1),,0.220576
0,705,(39,20),,0.358269
0,706,(22,8),,0.327824
0,707,(35,41),,0.101344
0,708,(6,8),,0.580123
0,709,(49,20),,0.058793
0,710,(21,20),,0.248631
0,711,(44,0),,0.097181
0,712,(34,13),,0.217162
0,713,(38,9),,0.192188
0,714,(29,9),,0.228468
0,715,(27,4),,0.307571
0,716,(46,0),,0.086442
0,717,(9,48),,0.571749
0,718,(30,16),,0.265936
0,719,(36,15),,0.279146
0,720,(30,22),,0.255062
0,721,(2,3),,0.504417
0,722,(1,3),,0.488825
0,723,(14,21),,0.436660
0,724,(40,4),,0.120712
0,725,(36,4),,0.171785
0,726,(9,4),,0.034871
0,727,(19,0),,0.247160
0,728,(31,1),,0.259071
0,729,(42,42),,0.075297
0,730,(1,4),,0.488367
0,731,(44,3),,0.077658
0,732,(29,21),,0.317275
0,733,(27,14),,0.211768
0,734,(35,20),,0.120811
0,735,(28,9),,0.242014
0,736,(45,25),,0.126798
0,737,(13,26),,0.375871
0,738,(3,1),,0.518662
0,739,(40,2),,0.131538
0,740,(34,34),,0.087942
0,741,(21,0),,0.255148
0,742,(5,4),,0.561446
0,743,(38,2),,0.161045
0,744,(25,16),,0.295202
0,745,(22,6),,0.332628
0,746,(47,16),,0.105421
0,747,(5,7),,0.567376
0,748,(4,1),,0.535139
0,749,(34,2),,0.233347
0,750,(32,19),,0.489570
0,751,(33,2),,0.246227
0,752,(15,12),,0.342559
0,753,(11,21),,0.526077
0,754,(27,20),,0.424850
0,755,(37,6),,0.164913
0,756,(23,28),,0.492024
0,757,(26,49),,0.509579
0,758,(49,30),,0.519665
0,759,(23,2),,0.287206
0,760,(35,26),,0.316023
0,761,(39,14),,0.342308
0,762,(39,9),,0.186994
0,763,(13,23),,0.549933
0,764,(20,30),,0.299297
0,765,(30,2),,0.574630
0,766,(33,23),,0.147135
0,767,(43,40),,0.058900
0,768,(29,3),,0.284063
0,769,(15,1),,0.277721
0,770,(17,7),,0.326030
0,771,(36,34),,0.091224
0,772,(24,0),,0.259579
0,773,(7,1),,0.528461
0,774,(40,0),,0.151952
0,775,(26,3),,0.294778
0,776,(42,32),,0.509935
0,777,(16,9),,0.341952
0,778,(27,3),,0.110326
0,779,(7,17),,0.536869
0,780,(9,17),,0.514288
0,781,(43,0),,0.110091
0,782,(35,28),,0.257857
0,783,(5,20),,0.515698
0,784,(4,6),,0.545248
0,785,(42,25),,0.079694
0,786,(20,18),,0.315001
0,787,(25,37),,0.193812
0,788,(49,7),,0.056902
0,789,(33,29),,0.097734
0,790,(49,45),,0.045627
0,791,(19,2),,0.274239
0,792,(42,0),,0.123436
0,793,(0,38),,0.035359
0,794,(26,9),,0.271140
0,795,(39,0),,0.168830
0,796,(45,36),,0.044710
0,797,(37,0),,0.201163
0,798,(25,22),,0.495168
0,799,(22,29),,0.423241
0,800,(10,36),,0.424898
0,801,(46,4),,0.280783
0,802,(36,20),,0.132647
0,803,(22,3),,0.298788
0,804,(44,36),,0.059077
0,805,(22,1),,0.271270
0,806,(31,49),,0.247285
0,807,(0,8),,0.471481
0,808,(30,23),,0.028386
0,809,(0,12),,0.378369
0,810,(33,38),,0.097457
0,811,(12,35),,0.304406
0,812,(32,5),,0.180583
0,813,(26,12),,0.210689
0,814,(2,1),,0.106362
0,815,(27,17),,0.307911
0,816,(5,1),,0.547530
0,817,(32,14),,0.155696
0,818,(2,20),,0.470048
0,819,(25,2),,0.276272
0,820,(19,9),,0.328202
0,821,(25,3),,0.290425
0,822,(4,3),,0.540789
0,823,(10,2),,0.464768
0,824,(41,0),,0.137785
0,825,(10,4),,0.524125
0,826,(9,36),,0.460633
0,827,(38,17),,0.369130
0,828,(31,16),,0.156704
0,829,(33,40),,0.103344
0,830,(16,2),,0.284170
0,831,(23,21),,0.562055
0,832,(11,6),,0.472412
0,833,(44,10),,0.120990
0,834,(22,34),,0.208302
0,835,(17,4),,0.302361
0,836,(6,16),,0.544620
0,837,(9,14),,0.519035
0,838,(8,3),,0.090248
0,839,(23,31),,0.322693
0,840,(48,34),,0.218974
0,841,(20,5),,0.316323
0,842,(47,2),,0.072021
0,843,(11,0),,0.132410
0,844,(4,0),,0.532209
0,845,(48,31),,0.033756
0,846,(3,26),,0.412115
0,847,(30,38),,0.124920
0,848,(18,15),,0.203750
0,849,(10,3),,0.478131
0,850,(23,45),,0.356971
0,851,(41,1),,0.127289
0,852,(39,3),,0.139702
0,853,(21,39),,0.285917
0,854,(45,45),,0.073034
0,855,(22,13),,0.257278
0,856,(24,6),,0.323984
0,857,(10,19),,0.253557
0,858,(12,45),,0.525621
0,859,(7,7),,0.269545
0,860,(13,11),,0.413601
0,861,(38,3),,0.153909
0,862,(3,13),,0.518251
0,863,(47,27),,0.056359
0,864,(5,0),,0.543032
0,865,(33,16),,0.178446
0,866,(20,38),,0.281337
0,867,(24,2),,0.282724
0,868,(28,6),,0.295556
0,869,(18,8),,0.326098
0,870,(35,0),,0.418999
0,871,(41,4),,0.106437
0,872,(38,14),,0.321975
0,873,(16,24),,0.414860
0,874,(41,8),,0.128196
0,875,(9,1),,0.482873
0,876,(18,17),,0.258609
0,877,(14,5),,0.351895
0,878,(2,36),,0.485402
0,879,(8,1),,0.508321
0,880,(3,42),,0.242840
0,881,(27,44),,0.228146
0,882,(7,33),,0.397832
0,883,(31,7),,0.236572
0,884,(17,10),,0.331054
0,885,(35,23),,0.179198
0,886,(7,20),,0.291820
0,887,(41,33),,0.113079
0,888,(29,42),,0.224148
0,889,(7,2),,0.416525
0,890,(45,9),,0.090678
0,891,(32,0),,0.255008
0,892,(4,38),,0.309979
0,893,(4,44),,0.335201
0,894,(42,7),,0.093933
0,895,(49,34),,0.027542
0,896,(5,18),,0.529427
0,897,(33,1),,0.249071
0,898,(31,24),,0.185761
0,899,(39,29),,0.148865
0,900,(1,2),,0.489523
0,901,(28,20),,0.429314
0,902,(47,28),,0.050980
0,903,(49,35),,0.025923
0,904,(9,0),,0.470343
0,905,(29,8),,0.249867
0,906,(48,38),,0.022318
0,907,(6,7),,0.577332
0,908,(36,7),,0.185781
0,909,(37,38),,0.511621
0,910,(37,43),,0.114843
0,911,(3,3),,0.521613
0,912,(18,46),,0.373549
0,913,(46,9),,0.081736
0,914,(43,49),,0.132615
0,915,(22,12),,0.269806
0,916,(4,47),,0.538180
0,917,(34,10),,0.391135
0,918,(5,11),,0.566979
0,919,(28,21),,0.387627
0,920,(13,2),,0.537302
0,921,(38,26),,0.190099
0,922,(19,28),,0.346318
0,923,(9,21),,0.124929
0,924,(16,6),,0.328561
0,925,(35,13),,0.240072
0,926,(24,12),,0.375641
0,927,(17,29),,0.240151
